part_number,description,color_code,color_name,quantity,image_file
58122,Electric Power Functions IR Remote Control,7,Light Gray,1,58122_Light_Gray.png
58123,Electric Power Functions IR Receiver,7,Light Gray,1,58123_Light_Gray.png
58118,Electric Power Functions Wire 50cm,0,Black,1,58118_Black.png
59443,Technic Axle Joiner Inline Smooth,7,Light Gray,28,59443_Light_Gray.png
59443,Technic Axle Joiner Inline Smooth,14,Yellow,2,59443_Yellow.png
59443,Technic Axle Joiner Inline Smooth,15,White,2,59443_White.png
59895,Tyre 4/ 80 x 8 Single Smooth Type 2,0,Black,12,59895_Black.png
6014,Wheel Rim 11.2 x 10.4,15,White,38,6014_White.png
6015,Tyre 12/ 40 x 11 Wide,0,Black,38,6015_Black.png
60470,Plate 1 x 2 with 2 Clips Horizontal,0,Black,1,60470_Black.png
60470,Plate 1 x 2 with 2 Clips Horizontal,7,Light Gray,1,60470_Light_Gray.png
60470,Plate 1 x 2 with 2 Clips Horizontal,4,Yellow,13,60470_Yellow.png
60478,Plate 1 x 2 with Handle on End,4,Red,10,60478_Red.png
60478,Plate 1 x 2 with Handle on End,7,Light Gray,4,60478_Light_Gray.png
60478,Plate 1 x 2 with Handle on End,14,Yellow,52,60478_Yellow.png
60478,Plate 1 x 2 with Handle on End,15,White,56,60478_White.png
60483,Technic Beam 2 Liftarm,8,Dark Gray,2,60483_Dark_Gray.png
60581,Panel 1 x 4 x 3 with Side Flanges,47,Trans Clear,5,60581_Trans_Clear.png
6141,Plate 1 x 1 Round,0,Black,8,6141_Black.png
6141,Plate 1 x 1 Round,7,Light Gray,8,6141_Light_Gray.png
6141,Plate 1 x 1 Round,33,Trans Dark Blue,40,6141_Trans_Dark_Blue.png
6141,Plate 1 x 1 Round,35,Trans Bright Green,36,6141_Trans_Bright_Green.png
6141,Plate 1 x 1 Round,36,Trans Red,101,6141_Trans_Red.png
6141,Plate 1 x 1 Round,37,Trans Dark Pink,38,6141_Trans_Dark_Pink.png
6141,Plate 1 x 1 Round,39,Trans Very Light Blue,39,6141_Trans_Very_Light_Blue.png
6141,Plate 1 x 1 Round,42,Trans Neon Green,26,6141_Trans_Neon_Green.png
6141,Plate 1 x 1 Round,44,Trans Light Purple,44,6141_Trans_Light_Purple.png
6141,Plate 1 x 1 Round,46,Trans Yellow,80,6141_Trans_Yellow.png
6141,Plate 1 x 1 Round,57,Trans Orange,36,6141_Trans_Orange.png
3941,Brick 2 x 2 Round,1,Blue,4,3941_Blue.png
3941,Brick 2 x 2 Round,15,White,2,3941_White.png
61904,Technic Power Functions Linear Actuator Bracket Hinged Mount,8,Dark Gray,1,61904_Dark_Gray.png
62274c02,Technic Linear Actuator 12 x 2 x 2,8,Light Gray,1,62274c02_Light_Gray.png
63868,Plate 1 x 2 with Clip Horizontal on End (Thick C-Clip),4,Red,6,63868_Red.png
63868,Plate 1 x 2 with Clip Horizontal on End (Thick C-Clip),7,Light Gray,4,63868_Light_Gray.png
63868,Plate 1 x 2 with Clip Horizontal on End (Thick C-Clip),14,Yellow,8,63868_Yellow.png
63868,Plate 1 x 2 with Clip Horizontal on End (Thick C-Clip),15,White,38,63868_White.png
63965,Bar 6L with Thick Stop,15,White,1,63965_White.png
6536,Technic Cross Block 1 x 2 (Axle/Pin),4,Red,4,6536_Red.png
6587,Technic Axle 3 with Stud,8,Dark Gray,13,6587_Dark_Gray.png
6636,Tile 1 x 6,1,Blue,8,6636_Blue.png
6636,Tile 1 x 6,4,Red,4,6636_Red.png
6636,Tile 1 x 6,7,Light Gray,40,6636_Light_Gray.png
6636,Tile 1 x 6,14,Yellow,48,6636_Yellow.png
6636,Tile 1 x 6,15,White,58,6636_White.png
30033,Plate 2 x 2 with Rod Frame Octagonal,15,White,4,30033_White.png
85984,Slope Brick 31 1 x 2 x 0.667,0,Black,6,85984_Black.png
85984,Slope Brick 31 1 x 2 x 0.667,1,Blue,8,85984_Blue.png
85984,Slope Brick 31 1 x 2 x 0.667,4,Red,4,85984_Red.png
85984,Slope Brick 31 1 x 2 x 0.667,15,White,6,85984_White.png
