Part,Description,Color ID,Color Name,Couleur RGB,Quantity,BrickLink URL,Found
3020,Plate 2 x 4,7,Light Grey,#A0A5A9,20,https://davidlilien.github.io/images_giant_booster/image-004-057_1753130822.jpg,0
3020,Plate 2 x 4,14,Yellow,#FAC80A,15,https://davidlilien.github.io/images_giant_booster/image-004-058_1753130822.jpg,0
3020,Plate 2 x 4,15,White,#FFFFFF,14,https://davidlilien.github.io/images_giant_booster/image-004-059_1753130822.jpg,0
3021,Plate 2 x 3,0,Black,#1B2A34,3,https://davidlilien.github.io/images_giant_booster/image-004-060_1753130822.jpg,0
3021,Plate 2 x 3,4,Red,#B40000,28,https://davidlilien.github.io/images_giant_booster/image-004-061_1753130822.jpg,0
3021,Plate 2 x 3,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-004-062_1753130822.jpg,0
3021,Plate 2 x 3,15,White,#FFFFFF,51,https://davidlilien.github.io/images_giant_booster/image-004-063_1753130822.jpg,0
3022,Plate 2 x 2,0,Black,#1B2A34,1,https://davidlilien.github.io/images_giant_booster/image-004-064_1753130823.jpg,0
3022,Plate 2 x 2,4,Red,#B40000,10,https://davidlilien.github.io/images_giant_booster/image-004-065_1753130823.jpg,0
3022,Plate 2 x 2,14,Yellow,#FAC80A,5,https://davidlilien.github.io/images_giant_booster/image-004-066_1753130823.jpg,0
3022,Plate 2 x 2,15,White,#FFFFFF,8,https://davidlilien.github.io/images_giant_booster/image-004-067_1753130823.jpg,0
3023,Plate 1 x 2,0,Black,#1B2A34,7,https://davidlilien.github.io/images_giant_booster/image-004-068_1753130823.jpg,0
3023,Plate 1 x 2,4,Red,#B40000,14,https://davidlilien.github.io/images_giant_booster/image-004-069_1753130823.jpg,0
3023,Plate 1 x 2,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-004-070_1753130823.jpg,0
3023,Plate 1 x 2,14,Yellow,#FAC80A,22,https://davidlilien.github.io/images_giant_booster/image-004-071_1753130823.jpg,0
3023,Plate 1 x 2,15,White,#FFFFFF,16,https://davidlilien.github.io/images_giant_booster/image-004-072_1753130823.jpg,0
3031,Plate 4 x 4,7,Light Grey,#A0A5A9,20,https://davidlilien.github.io/images_giant_booster/image-004-073_1753130823.jpg,0
3032,Plate 4 x 6,0,Black,#1B2A34,3,https://davidlilien.github.io/images_giant_booster/image-004-074_1753130823.jpg,0
3032,Plate 4 x 6,4,Red,#B40000,15,https://davidlilien.github.io/images_giant_booster/image-004-075_1753130823.jpg,0
3032,Plate 4 x 6,14,Yellow,#FAC80A,16,https://davidlilien.github.io/images_giant_booster/image-004-076_1753130823.jpg,0
3032,Plate 4 x 6,25,Orange,#D67923,11,https://davidlilien.github.io/images_giant_booster/image-005-077_1753130823.jpg,0
3034,Plate 2 x 8,4,Red,#B40000,6,https://davidlilien.github.io/images_giant_booster/image-005-078_1753130823.jpg,0
3034,Plate 2 x 8,14,Yellow,#FAC80A,2,https://davidlilien.github.io/images_giant_booster/image-005-079_1753130823.jpg,0
3034,Plate 2 x 8,15,White,#FFFFFF,3,https://davidlilien.github.io/images_giant_booster/image-005-080_1753130823.jpg,0
30357,Plate 3 x 3 Corner Round,15,White,#FFFFFF,4,https://davidlilien.github.io/images_giant_booster/image-005-081_1753130823.jpg,0
3037,Slope Brick 45 2 x 4,4,Red,#B40000,4,https://davidlilien.github.io/images_giant_booster/image-005-082_1753130823.jpg,0
30377,Minifig Mechanical Arm with Clips Parallel,0,Black,#1B2A34,32,https://davidlilien.github.io/images_giant_booster/image-005-083_1753130823.jpg,0
3039,Slope Brick 45 2 x 2,4,Red,#B40000,5,https://davidlilien.github.io/images_giant_booster/image-005-084_1753130823.jpg,0
3039,Slope Brick 45 2 x 2,7,Light Grey,#A0A5A9,2,https://davidlilien.github.io/images_giant_booster/image-005-085_1753130823.jpg,0
3039,Slope Brick 45 2 x 2,14,Yellow,#FAC80A,3,https://davidlilien.github.io/images_giant_booster/image-005-086_1753130823.jpg,0
3039,Slope Brick 45 2 x 2,15,White,#FFFFFF,12,https://davidlilien.github.io/images_giant_booster/image-005-087_1753130823.jpg,0
3040b,Slope Brick 45 2 x 1,4,Red,#B40000,6,https://davidlilien.github.io/images_giant_booster/image-005-088_1753130823.jpg,0
3040b,Slope Brick 45 2 x 1,14,Yellow,#FAC80A,2,https://davidlilien.github.io/images_giant_booster/image-005-089_1753130823.jpg,0
3040b,Slope Brick 45 2 x 1,15,White,#FFFFFF,2,https://davidlilien.github.io/images_giant_booster/image-005-090_1753130823.jpg,0
30414,Brick 1 x 4 with Studs on Side,4,Red,#B40000,3,https://davidlilien.github.io/images_giant_booster/image-005-091_1753130823.jpg,0
30503,Plate 4 x 4 without Corner,7,Light Grey,#A0A5A9,2,https://davidlilien.github.io/images_giant_booster/image-005-092_1753130823.jpg,0
3062b,Brick 1 x 1 Round with Hollow Stud,0,Black,#1B2A34,8,https://davidlilien.github.io/images_giant_booster/image-005-093_1753130823.jpg,0
3062b,Brick 1 x 1 Round with Hollow Stud,4,Red,#B40000,12,https://davidlilien.github.io/images_giant_booster/image-005-094_1753130823.jpg,0
3065,Brick 1 x 2 without Centre Stud,36,Trans Red,#FF0000,4,https://davidlilien.github.io/images_giant_booster/image-005-095_1753130823.jpg,0
3068b,Tile 2 x 2 with Groove,4,Red,#B40000,6,https://davidlilien.github.io/images_giant_booster/image-006-096_1753130823.jpg,0
3068b,Tile 2 x 2 with Groove,14,Yellow,#FAC80A,9,https://davidlilien.github.io/images_giant_booster/image-006-097_1753130823.jpg,0
3069b,Tile 1 x 2 with Groove,4,Red,#B40000,5,https://davidlilien.github.io/images_giant_booster/image-006-098_1753130823.jpg,0
3069b,Tile 1 x 2 with Groove,14,Yellow,#FAC80A,5,https://davidlilien.github.io/images_giant_booster/image-006-099_1753130823.jpg,0
3069b,Tile 1 x 2 with Groove,15,White,#FFFFFF,6,https://davidlilien.github.io/images_giant_booster/image-006-100_1753130823.jpg,0
3069b,Tile 1 x 2 with Groove,36,Trans Red,#FF0000,2,https://davidlilien.github.io/images_giant_booster/image-006-101_1753130823.jpg,0
3185,Fence Lattice 1 x 4 x 2,14,Yellow,#FAC80A,5,https://davidlilien.github.io/images_giant_booster/image-006-102_1753130823.jpg,0
32000,Technic Brick 1 x 2 with Holes,15,White,#FFFFFF,4,https://davidlilien.github.io/images_giant_booster/image-006-103_1753130823.jpg,0
32001,Technic Plate 2 x 6 with Holes,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-006-104_1753130823.jpg,0
32001,Technic Plate 2 x 6 with Holes,7,Light Grey,#A0A5A9,2,https://davidlilien.github.io/images_giant_booster/image-006-105_1753130823.jpg,0
32013,Technic Angle Connector #1,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-006-106_1753130823.jpg,0
32062,Technic Axle 2 Notched,0,Black,#1B2A34,9,https://davidlilien.github.io/images_giant_booster/image-006-107_1753130823.jpg,0
32064,Technic Brick 1 x 2 with Axlehole,4,Red,#B40000,5,https://davidlilien.github.io/images_giant_booster/image-006-108_1753130823.jpg,0
32064,Technic Brick 1 x 2 with Axlehole,14,Yellow,#FAC80A,9,https://davidlilien.github.io/images_giant_booster/image-006-109_1753130823.jpg,0
32073,Technic Axle 5,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-006-110_1753130823.jpg,0
32123,Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced,7,Light Grey,#A0A5A9,26,https://davidlilien.github.io/images_giant_booster/image-006-111_1753130823.jpg,0
32184,Technic Cross Block 1 x 3 (Axle/Pin/Axle),4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-006-112_1753130823.jpg,0
32198,Technic Gear 20 Tooth Bevel,19,Tan,#B0A06F,2,https://davidlilien.github.io/images_giant_booster/image-006-113_1753130823.jpg,0
